label;cv_fold;time;percentage;R2;RMSE;test_monomerA
1;2;422;0.02;-1.347.137.568;0.320160873;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;422;0.04;0.811755027;0.090669387;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;422;0.1;0.879339321;0.072590847;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;422;0.2;0.87914496;0.072649289;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;3;42;0.01;0.707918168;0.198105315;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;42;0.02;0.787824385;0.168846316;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;42;0.04;0.865681419;0.134342029;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;42;0.1;0.911614427;0.108976924;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;42;0.2;0.945502249;0.085572288;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;42;0.01;-3.415.029.764;0.554901629;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;42;0.02;0.119279286;0.247838223;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;42;0.04;0.659837736;0.154025366;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;42;0.1;0.755031028;0.130708768;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;42;0.2;0.833554623;0.107742004;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;421;0.01;0.39804795;0.284396865;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;421;0.02;0.572452189;0.23968243;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;421;0.04;0.66004798;0.213723692;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;421;0.1;0.885459127;0.124057807;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;421;0.2;0.927605336;0.098627297;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;421;0.01;0.40957437;0.202923238;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;421;0.02;0.631631487;0.160284096;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;421;0.04;0.725802885;0.138286767;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;421;0.1;0.704112735;0.143652212;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;421;0.2;0.810727962;0.114892694;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;422;0.01;0.222166201;0.32328627;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;422;0.02;0.075862173;0.352380794;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;422;0.04;0.461471036;0.26899759;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;422;0.1;0.727531679;0.191338279;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;3;422;0.2;0.946906191;0.084462863;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;422;0.01;-0.100662609;0.277061568;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;422;0.02;0.472455716;0.191813267;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;422;0.04;0.620880385;0.162606278;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;422;0.1;0.623739816;0.161991905;[*:1]c1ccc(-c2ccc([*:2])s2)s1
1;3;422;0.2;0.825749355;0.110239283;[*:1]c1ccc(-c2ccc([*:2])s2)s1
0;4;42;0.01;-2.887.002.932;0.478718683;[*:1]c1ccc([*:2])c2nsnc12
0;4;42;0.02;-3.927.294.495;0.538985651;[*:1]c1ccc([*:2])c2nsnc12
0;4;42;0.04;-4.029.233.951;0.544532572;[*:1]c1ccc([*:2])c2nsnc12
0;4;42;0.1;0.616591977;0.150350038;[*:1]c1ccc([*:2])c2nsnc12
0;4;42;0.2;0.673459513;0.138752706;[*:1]c1ccc([*:2])c2nsnc12
1;4;42;0.01;0.684606996;0.217108142;[*:1]c1ccc([*:2])c2nsnc12
1;4;42;0.02;0.694364942;0.213723199;[*:1]c1ccc([*:2])c2nsnc12
1;4;42;0.04;0.562686254;0.2556505;[*:1]c1ccc([*:2])c2nsnc12
1;4;42;0.1;0.913143949;0.113933155;[*:1]c1ccc([*:2])c2nsnc12
1;4;42;0.2;0.95104337;0.08553736;[*:1]c1ccc([*:2])c2nsnc12
0;4;421;0.01;-0.697653252;0.316371562;[*:1]c1ccc([*:2])c2nsnc12
0;4;421;0.02;-0.767434212;0.32280821;[*:1]c1ccc([*:2])c2nsnc12
0;4;421;0.04;-0.025765751;0.245921807;[*:1]c1ccc([*:2])c2nsnc12
0;4;421;0.1;0.504372888;0.170942665;[*:1]c1ccc([*:2])c2nsnc12
0;4;421;0.2;0.614515198;0.150756683;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.01;0.669330841;0.222303821;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.02;0.749648395;0.193430642;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.04;0.77157163;0.184767296;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.1;0.796007109;0.174605371;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.2;0.834507611;0.15726754;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.01;-0.943060225;0.338466799;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.02;-0.647791917;0.311690903;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.04;-0.350127548;0.282137194;[*:1]c1ccc([*:2])c2nsnc12
