label;cv_fold;time;percentage;R2;RMSE;pretraining
1;2;42;0.02;-0.21360136;0.230216799;False
1;2;42;0.04;-1.155580278;0.306818176;False
1;2;42;0.1;0.775207001;0.099080998;False
1;2;42;0.2;0.850586925;0.080778035;False
0;2;421;0.01;0.022087296;0.397082338;False
0;2;421;0.02;0.363821159;0.320272859;False
0;2;421;0.04;0.605491239;0.252207997;False
0;2;421;0.1;0.89320818;0.131219845;False
0;2;421;0.2;0.8397995;0.160717238;False
1;2;421;0.01;-0.679553562;0.270829465;False
1;2;421;0.02;0.319592684;0.172378648;False
1;2;421;0.04;0.577086307;0.13590169;False
1;2;421;0.1;0.774764697;0.099178426;False
1;2;421;0.2;0.897566824;0.066883548;False
0;2;422;0.01;0.195262644;0.360211528;False
0;2;422;0.02;0.299452084;0.336085247;False
0;2;422;0.04;0.424276774;0.304675408;False
0;2;422;0.1;0.803681985;0.177914196;False
0;2;422;0.2;0.937412307;0.100455796;False
1;2;422;0.01;0.233747961;0.182929945;False
1;2;422;0.02;-0.798564576;0.28026057;False
1;2;422;0.04;0.605415478;0.131271064;False
1;2;422;0.1;0.664406369;0.121061441;False
1;2;422;0.2;0.889741433;0.069391321;False
0;3;42;0.01;0.035930439;0.359913421;False
0;3;42;0.02;-1.852705303;0.619116403;False
0;3;42;0.04;0.39033625;0.286212793;False
0;3;42;0.1;0.763852855;0.178129236;False
0;3;42;0.2;0.940754968;0.089221563;False
1;3;42;0.01;-2.433566369;0.489352606;False
1;3;42;0.02;-0.979337238;0.371542997;False
1;3;42;0.04;0.76502824;0.128013867;False
1;3;42;0.1;0.832573368;0.108059127;False
1;3;42;0.2;0.910837369;0.078857067;False
0;3;421;0.01;-1.283067852;0.553864162;False
0;3;421;0.02;0.119145247;0.344029755;False
0;3;421;0.04;0.470122359;0.266828155;False
0;3;421;0.1;0.703555926;0.199579184;False
0;3;421;0.2;0.87683275;0.128644575;False
1;3;421;0.01;-1.21269807;0.392835078;False
1;3;421;0.02;-0.078055656;0.274201467;False
1;3;421;0.04;0.271196363;0.225452184;False
1;3;421;0.1;0.835250421;0.107191744;False
1;3;421;0.2;0.794848366;0.119615283;False
0;3;422;0.01;-0.381325958;0.430816117;False
0;3;422;0.02;-0.564484318;0.458489573;False
0;3;422;0.04;-0.176102902;0.397526895;False
0;3;422;0.1;0.716309335;0.195238912;False
0;3;422;0.2;0.930666779;0.096519385;False
1;3;422;0.01;-0.772732092;0.351617705;False
1;3;422;0.02;-2.029585495;0.459664314;False
1;3;422;0.04;0.015601868;0.262020079;False
1;3;422;0.1;0.820065644;0.11202275;False
1;3;422;0.2;0.87250429;0.094296803;False
0;4;42;0.01;-7.12819395;0.69226117;False
0;4;42;0.02;-2.012204401;0.421420019;False
0;4;42;0.04;-2.231907527;0.436518251;False
0;4;42;0.1;0.667337575;0.140047325;False
0;4;42;0.2;0.765656862;0.117543621;False
1;4;42;0.01;0.486561425;0.277009287;False
1;4;42;0.02;0.708592603;0.208689389;False
1;4;42;0.04;0.827870589;0.160390124;False
1;4;42;0.1;0.837764244;0.155712462;False
1;4;42;0.2;0.92175071;0.108140976;False
0;4;421;0.01;-8.452718373;0.746536941;False
0;4;421;0.02;-0.59340036;0.306503472;False
0;4;421;0.04;0.190012521;0.218530518;False
0;4;421;0.1;0.60959367;0.151715995;False
0;4;421;0.2;0.621506926;0.149383253;False
1;4;421;0.01;0.190658162;0.347789189;False
1;4;421;0.02;0.235575937;0.338000433;False
1;4;421;0.04;0.811808514;0.167706567;False
1;4;421;0.1;0.885537284;0.130792278;False
1;4;421;0.2;0.910451005;0.115685903;False
0;4;422;0.01;-3.658981854;0.524105181;False
0;4;422;0.02;-2.514666984;0.455213396;False
0;4;422;0.04;-0.890988774;0.333900768;False
0;4;422;0.1;0.219654786;0.214494583;False
0;4;422;0.2;0.600298653;0.153511441;False
1;4;422;0.01;-0.051020626;0.396328863;False
1;4;422;0.02;0.659376912;0.22562495;False
1;4;422;0.04;0.77893367;0.18176547;False
1;4;422;0.1;0.892696106;0.126636187;False
1;4;422;0.2;0.905313751;0.118957968;False
0;5;42;0.01;0.388453201;0.48247203;False
0;5;42;0.02;0.415056643;0.471861126;False
0;5;42;0.04;0.322807195;0.507707362;False
0;5;42;0.1;0.556382725;0.41092401;False
0;5;42;0.2;0.841973441;0.245257522;False
1;5;42;0.01;0.337725159;0.346319229;False
