R2;RMSE;PL;norm;seeds;percentage;pretraining
0.8605363965034485;0.22666816056305025;True;0;421;0.04;True
0.8867899775505066;0.20131745672474638;True;0;421;0.04;True
0.8830296397209167;0.20614785533303395;True;0;421;0.04;True
0.8843185305595398;0.20401774058677014;True;0;421;0.04;True
0.8934573531150818;0.2004980542922087;True;0;421;0.04;True
0.8582744598388672;0.2284989391658081;True;1;421;0.04;True
0.8944574594497681;0.1943805298371281;True;1;421;0.04;True
0.8694369196891785;0.21779658960003104;True;1;421;0.04;True
0.7990951538085938;0.2688631401771608;True;1;421;0.04;True
0.8855246305465698;0.2078281665575677;True;1;421;0.04;True
0.8683590292930603;0.22021941964751515;True;0;422;0.04;True
0.8755545020103455;0.21107099865077067;True;0;422;0.04;True
0.8818948268890381;0.20714544349850367;True;0;422;0.04;True
0.8307640552520752;0.24676432150631328;True;0;422;0.04;True
0.8864400386810303;0.20699552011767625;True;0;422;0.04;True
0.6340311169624329;0.367182691015041;True;1;422;0.01;True
0.721293032169342;0.3158732858746435;True;1;422;0.01;True
0.6609920859336853;0.3509504288341023;True;1;422;0.01;True
0.6734450459480286;0.3427790127814313;True;1;422;0.01;True
0.6971044540405273;0.3380608102506221;True;1;422;0.01;True
0.687170684337616;0.3394797118280994;True;0;422;0.01;True
0.7063031196594238;0.32425645815786247;True;0;422;0.01;True
0.6531543731689453;0.3549841627429875;True;0;422;0.01;True
0.6655164957046509;0.346915291259019;True;0;422;0.01;True
0.7715919017791748;0.2935649146698858;True;0;422;0.01;True
0.8539738655090332;0.2319398417384177;True;1;422;0.04;True
0.8211892247200012;0.2530089000250357;True;1;422;0.04;True
0.8735257387161255;0.21435912700477178;True;1;422;0.04;True
0.7623584270477295;0.29241342683696675;True;1;422;0.04;True
0.8967990875244141;0.19732867073807028;True;1;422;0.04;True
0.8268303275108337;0.25257829979401714;True;1;422;0.02;True
0.8069945573806763;0.2628595625733799;True;1;422;0.02;True
0.7658777236938477;0.2916501699051149;True;1;422;0.02;True
0.7648004293441772;0.2909071291222721;True;1;422;0.02;True
0.8252880573272705;0.256749562871351;True;1;422;0.02;True
0.8127603530883789;0.2626388659332371;True;0;422;0.02;True
