r2_train,r2_val,fold,seed_set,finetune_percentage,rmse_train,rmse_val
0.9752839971101284,0.7367715123856422,1,2,0.01,0.09149831389907284,0.3087519142896816
0.9704019689443226,0.7960303791444318,2,2,0.01,0.10933591096744008,0.27442145156010167
0.9696521569040119,0.7365958345539259,3,2,0.01,0.10406112081053692,0.3064345467767351
0.9681738846508077,0.7909108669300043,4,2,0.01,0.10844072675209984,0.27624282284005747
0.9789346652660739,0.8297004466454004,0,2,0.02,0.08878923953648045,0.24866536574635673
0.9765373092515124,0.8083736937941606,1,2,0.02,0.09064010415467391,0.26343336460865996
0.9757462075964763,0.8320733760351116,2,2,0.02,0.09339692502233297,0.248997560016459
0.9718167666500086,0.806983029874269,3,2,0.02,0.09609032651055911,0.26231562046300494
0.974892488548409,0.8305162148080796,4,2,0.02,0.09557814005704823,0.24870776784569382
0.9837795480324754,0.8581080267874259,0,2,0.04,0.07815943910155627,0.22697993136384326
0.9824085344671529,0.8657847991395137,1,2,0.04,0.07837749175037015,0.22046724114327335
0.9817778943067528,0.8868154572778233,2,2,0.04,0.08066241901692278,0.20442258377717953
0.9779206893923614,0.8549744669318252,3,2,0.04,0.08519449535836017,0.22737810416877408
0.9846667492802439,0.8746988414415612,4,2,0.04,0.07626361633367013,0.2138468294160546
0.9875395014685896,0.9116058504462994,0,2,0.1,0.06727590553732768,0.1791514415669675
0.9882839267697311,0.9186159204240598,1,2,0.1,0.06590261930260254,0.17167732699769933
0.9880136676011485,0.9223441910921387,2,2,0.1,0.06594156813629795,0.1693254688737718
0.9889670455609378,0.903930077269383,3,2,0.1,0.06240388484602147,0.18506322519097182
0.9884412316894577,0.9149845863256545,4,2,0.1,0.0658901188276623,0.17614653660812557
0.9912860491653174,0.9340601027333558,0,2,0.2,0.05585238471199623,0.15473290504953377
0.9919644861694481,0.9372789921695257,1,2,0.2,0.05434555251967416,0.1507126578445902
0.9913295674881966,0.9460377942482856,2,2,0.2,0.05585540180089915,0.14114976507928137
0.9918708819532733,0.9292984704224552,3,2,0.2,0.054021444671141894,0.15875989779379823
0.9917753775349806,0.9464995768260908,4,2,0.2,0.05497660117168438,0.13973457581734663
